Item,Tipo,Estado,Norma de Aprobacion,Fecha,Denominacion,Tipo de Archivo,Nombre de Archivo Local,Ruta Relativa,URL Origen
1,Lineamiento,Vigente,RDE D0000213-2024-MIDAGRI-SERFOR-DE,2024-09-06,Disponen modificación de los Lineamientos para el ejercicio de la potestad sancionadora y desarrollo del procedimiento administrativo sancionador,Resolucion,01_disponen_modificacion_de_los_lineamientos_para_el_ejerc_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/01_disponen_modificacion_de_los_lineamientos_para_el_ejerc_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/6902365/5962357-rde-000213-2024-de.pdf?v=1725642763
2,Lineamiento,Vigente,RDE D0000224-2024-MIDAGRI-SERFOR-DE,2024-09-18,Aprueban los Lineamientos para la elaboración de Declaraciones de Manejo de Fauna Silvestre aplicables a zoocriaderos,Resolucion,02_aprueban_los_lineamientos_para_la_elaboracion_de_declar_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/02_aprueban_los_lineamientos_para_la_elaboracion_de_declar_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/6958518/6002554-rde-000224-2024-de.pdf?v=1726673890
2,Lineamiento,Vigente,RDE D0000224-2024-MIDAGRI-SERFOR-DE,2024-09-18,Aprueban los Lineamientos para la elaboración de Declaraciones de Manejo de Fauna Silvestre aplicables a zoocriaderos,Documento / Lineamiento,02_aprueban_los_lineamientos_para_la_elaboracion_de_declar_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/02_aprueban_los_lineamientos_para_la_elaboracion_de_declar_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/6958519/6002554-lin_elaboracion-de-demafs-de-zoocriadero-_-20-05-2024-limpio-rev-26-6-24ff.pdf?v=1726673891
3,Lineamiento,Vigente,RDE D0000209-2024-MIDAGRI-SERFOR-DE,2024-09-05,Modifican los Lineamientos para la elaboración de declaración de manejo para permisos de aprovechamiento forestal en Comunidades Nativas y Comunidades Campesinas,Resolucion,03_modifican_los_lineamientos_para_la_elaboracion_de_decla_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/03_modifican_los_lineamientos_para_la_elaboracion_de_decla_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/6901176/5961498-rde-000209-2024-de.pdf?v=1725635912
3,Lineamiento,Vigente,RDE D0000209-2024-MIDAGRI-SERFOR-DE,2024-09-05,Modifican los Lineamientos para la elaboración de declaración de manejo para permisos de aprovechamiento forestal en Comunidades Nativas y Comunidades Campesinas,Documento / Lineamiento,03_modifican_los_lineamientos_para_la_elaboracion_de_decla_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/03_modifican_los_lineamientos_para_la_elaboracion_de_decla_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/6902128/5961498-anexo-rde-modificacion-dema-en-ccnn-rev-abd-rev-dopm-final-03-09-24-1-f.pdf?v=1725641361
4,Lineamiento,Vigente,RDE D0000184-2024-MIDAGRI-SERFOR-DE,2024-07-31,"Aprobar lo ""Lineamientos para la formulación del Plan Maestro de Gestión del Bosque de Producción Permanente""",Resolucion,04_aprobar_lo_lineamientos_para_la_formulacion_del_plan_ma_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/04_aprobar_lo_lineamientos_para_la_formulacion_del_plan_ma_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/6724219/5835296-rde-000184-2024-de.pdf?v=1722542948
4,Lineamiento,Vigente,RDE D0000184-2024-MIDAGRI-SERFOR-DE,2024-07-31,"Aprobar lo ""Lineamientos para la formulación del Plan Maestro de Gestión del Bosque de Producción Permanente""",Documento / Lineamiento,04_aprobar_lo_lineamientos_para_la_formulacion_del_plan_ma_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/04_aprobar_lo_lineamientos_para_la_formulacion_del_plan_ma_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/6724220/5835296-3-propuesta-de-lineamientos-plan-maestro.pdf?v=1722542949
5,Lineamiento,Vigente,RDE D0000072-2024-MIDAGRI-SERFOR-DE,2024-04-15,"Apruébese la creación de la Nómina de Especialistas del Servicio Nacional Forestal y de Fauna Silvestre - SERFOR; y aprueba los ""Lineamientos para la inscripción, selección y contratación de terceros en la nómina de especialistas del SERFOR"".",Resolucion,05_apruebese_la_creacion_de_la_nomina_de_especialistas_del_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/05_apruebese_la_creacion_de_la_nomina_de_especialistas_del_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/6212937/5475114-rde-000072-2024-de.pdf?v=1713458475
5,Lineamiento,Vigente,RDE D0000072-2024-MIDAGRI-SERFOR-DE,2024-04-15,"Apruébese la creación de la Nómina de Especialistas del Servicio Nacional Forestal y de Fauna Silvestre - SERFOR; y aprueba los ""Lineamientos para la inscripción, selección y contratación de terceros en la nómina de especialistas del SERFOR"".",Documento / Lineamiento,05_apruebese_la_creacion_de_la_nomina_de_especialistas_del_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/05_apruebese_la_creacion_de_la_nomina_de_especialistas_del_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/6212938/5475114-prop-de-lin-para-publicacion-27-3-24-actualizado-sgd-ultima-version-1-rev-ogaj-rev-dpr-11-4-24ff.pdf?v=1713458476
6,Lineamiento,Vigente,RDE D0000020-2024-MIDAGRI-SERFOR-DE,2024-01-23,Modificar el numeral 6.5 de los “Lineamientos para el otorgamiento de la autorización del proyecto y autorización de funcionamiento del centro de cría en cautividad. Modificar el numeral 5.3.1 de los “Lineamientos para la elaboración de planes de manejo de fauna silvestre aplicables para zoológicos,Resolucion,06_modificar_el_numeral_6_5_de_los_lineamientos_para_el_ot_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/06_modificar_el_numeral_6_5_de_los_lineamientos_para_el_ot_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/5728766/5088022-rde-000020-2024-de.pdf?v=1706116544
